weekday,daytime,isHoliday,distance,year,month,start_Bran,start_Hunedoara,start_Turda,end_Bran,end_Hunedoara,end_Turda,high_count
0.5,0.7391304347826086,0,0.3571428571428571,2020,12,0,1,0,0,1,0,0
0.9999999999999999,0.7826086956521738,0,0.07142857142857142,2020,12,0,0,1,0,0,1,1
0.5,0.7826086956521738,0,0.14285714285714285,2020,11,1,0,0,1,0,0,1
0.0,0.30434782608695654,1,0.14285714285714285,2021,1,0,0,1,0,0,1,0
0.16666666666666666,0.3913043478260869,1,0.07142857142857142,2021,3,0,0,1,0,0,1,1
0.33333333333333337,0.6956521739130435,0,0.21428571428571427,2020,12,1,0,0,1,0,0,0
0.6666666666666666,0.6086956521739131,0,0.2857142857142857,2020,11,1,0,0,0,1,0,0
0.8333333333333334,0.5217391304347826,0,0.14285714285714285,2020,10,0,1,0,0,1,0,0
0.5,0.7391304347826086,0,0.14285714285714285,2020,12,0,0,1,0,0,1,1
0.6666666666666666,0.6956521739130435,0,0.14285714285714285,2021,1,1,0,0,1,0,0,1
0.33333333333333337,0.34782608695652173,1,0.21428571428571427,2020,12,0,0,1,0,0,1,0
0.16666666666666666,0.4782608695652174,0,0.07142857142857142,2021,1,0,1,0,0,1,0,1
0.16666666666666666,0.6086956521739131,0,0.2857142857142857,2021,1,0,1,0,0,1,0,0
0.0,0.6956521739130435,0,0.07142857142857142,2021,3,1,0,0,1,0,0,0
0.0,0.7826086956521738,0,0.14285714285714285,2021,2,0,1,0,0,1,0,0
0.5,0.6956521739130435,1,0.0,2020,12,1,0,0,1,0,0,1
0.5,0.6956521739130435,0,0.5,2020,10,0,1,0,1,0,0,0
0.6666666666666666,0.2608695652173913,0,0.2857142857142857,2020,11,1,0,0,1,0,0,0
0.6666666666666666,0.21739130434782608,0,0.07142857142857142,2020,10,1,0,0,1,0,0,0
0.9999999999999999,0.43478260869565216,0,0.42857142857142855,2020,10,0,0,1,0,0,1,0
0.33333333333333337,0.7826086956521738,0,0.5,2021,1,1,0,0,0,1,0,0
0.16666666666666666,0.43478260869565216,0,0.5,2020,12,0,1,0,0,0,1,0
0.6666666666666666,0.4782608695652174,0,0.3571428571428571,2021,3,0,1,0,0,1,0,0
